case_id,annotator_1,annotator_2,primary_owner,pending_rerun
EDU-01-A,Yukun,Simret,Yukun,false
EDU-01-B,Yukun,Dan,Yukun,false
EDU-01-C,Yukun,Simret,Yukun,false
EDU-02-A,Yukun,Dan,Yukun,false
EDU-02-B,Yukun,Simret,Yukun,false
EDU-02-C,Yukun,Dan,Yukun,false
EDU-03-A,Simret,Dan,Simret,false
EDU-03-B,Simret,Dan,Simret,false
EDU-03-C,Yukun,Dan,Yukun,false
FLT-01-A,Yukun,Simret,Yukun,false
FLT-01-B,Yukun,Dan,Yukun,false
FLT-01-C,Yukun,Dan,Yukun,false
FLT-02-A,Simret,Dan,Simret,false
FLT-02-B,Yukun,Dan,Yukun,false
FLT-02-C,Yukun,Simret,Yukun,false
FLT-03-A,Yukun,Dan,Yukun,false
FLT-03-B,Yukun,Dan,Yukun,false
FLT-03-C,Simret,Dan,Simret,false
HOT-01-A,Simret,Dan,Simret,false
HOT-01-B,Simret,Dan,Simret,false
HOT-01-C,Simret,Dan,Simret,false
HOT-02-A,Yukun,Dan,Yukun,false
HOT-02-B,Yukun,Simret,Yukun,false
HOT-02-C,Yukun,Simret,Yukun,false
HOT-03-A,Yukun,Dan,Yukun,false
HOT-03-B,Simret,Dan,Simret,false
HOT-03-C,Simret,Dan,Simret,false
INF-01-A,Yukun,Simret,Yukun,false
INF-01-B,Simret,Dan,Simret,false
INF-01-C,Simret,Dan,Simret,false
INF-02-A,Yukun,Dan,Yukun,false
INF-02-B,Yukun,Dan,Yukun,false
INF-02-C,Yukun,Simret,Yukun,false
INF-03-A,Yukun,Simret,Yukun,false
INF-03-B,Yukun,Simret,Yukun,false
INF-03-C,Yukun,Simret,Yukun,false
MLM-01-A,Yukun,Simret,Yukun,false
MLM-01-B,Simret,Dan,Simret,false
MLM-01-C,Simret,Dan,Simret,false
MLM-02-A,Simret,Dan,Simret,false
MLM-02-B,Simret,Dan,Simret,false
MLM-02-C,Simret,Dan,Simret,false
MLM-03-A,Yukun,Dan,Yukun,false
MLM-03-B,Simret,Dan,Simret,false
MLM-03-C,Yukun,Simret,Yukun,false
REC-01-A,Yukun,Dan,Yukun,false
REC-01-B,Simret,Dan,Simret,false
REC-01-C,Simret,Dan,Simret,false
REC-02-A,Yukun,Dan,Yukun,false
REC-02-B,Simret,Dan,Simret,false
REC-02-C,Yukun,Dan,Yukun,false
REC-03-A,Yukun,Simret,Yukun,false
REC-03-B,Yukun,Simret,Yukun,false
REC-03-C,Simret,Dan,Simret,false
RET-01-A,Yukun,Simret,Yukun,false
RET-01-B,Simret,Dan,Simret,false
RET-01-C,Simret,Dan,Simret,false
RET-02-A,Yukun,Dan,Yukun,false
RET-02-B,Yukun,Dan,Yukun,false
RET-02-C,Yukun,Dan,Yukun,false
RET-03-A,Simret,Dan,Simret,false
RET-03-B,Yukun,Simret,Yukun,false
RET-03-C,Yukun,Simret,Yukun,false
SPT-01-A,Yukun,Simret,Yukun,false
SPT-01-B,Yukun,Dan,Yukun,false
SPT-01-C,Yukun,Simret,Yukun,false
SPT-02-A,Yukun,Dan,Yukun,false
SPT-02-B,Yukun,Simret,Yukun,false
SPT-02-C,Yukun,Dan,Yukun,false
SPT-03-A,Yukun,Simret,Yukun,false
SPT-03-B,Yukun,Dan,Yukun,false
SPT-03-C,Yukun,Simret,Yukun,false
