Q15,Q1,Q2_1,Q3_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1
What is your UserID,Which condition you are using,"How mentally taxing was the task in terms of thinking, deciding, and searching? - Mental Demand",How much physical activity was required? Was the task easy or demanding? - Physical Demand,How much time pressure did you feel due to the rate or pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic? - Temporal Demand,"How insecure, discouraged, irritated, stressed, and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task? - Frustration Level",How hard did you have to work (mentally and physically) to accomplish your level of performance? - Effort,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? - Performance,How confident do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? - Confidence,I could easily find supporting evidence from the information provided by the system to justify my judgment. - Agreement,It was intuitive to pinpoint the specific step that led to the misalignment between agents' behavior and personas. - Agreement,"It was easy to generate concrete, actionable improvement recommendations based on the information provided. - Agreement",The visualization effectively helped me understand the behavioral divergences between different agent execution paths. - Agreement,Comparing agent behaviors under different configurations was efficient. - Agreement
2,Condition B,7,3,3,1,7,1,6,3,5,5,1,1
2,Condition A,6,4,2,1,6,7,5,5,5,2,1,4
4,Condition A,2,2,3,1,1,6,8,6,8,8,9,9
4,Condition B,1,1,1,1,1,8,7,7,7,7,7,7
6,Condition B,6,1,5,1,2,2,3,7,2,7,1,7
6,Condition A,2,1,5,1,2,5,5,5,4,5,5,7
8,Condition B,8,1,2,1,1,9,9,5,3,7,3,4
8,Condition A,5,1,1,1,5,9,9,5,4,8,6,4
10,Condition A,5,2,5,2,4,8,8,9,9,7,9,9
10,Condition B,3,2,3,1,4,9,9,10,9,7,6,8
12,Condition B,5,3,3,1,2,7,5,7,4,7,9,9
12,Condition A,3,3,3,1,2,3,7,8,5,8,9,9
